outcome,tract,metric,node,t,p,hemisphere,N,covariates,extent_threshold,cluster_p,passed
SOCIAL_dprime,l_vta_l_hipp,FA,14,1.381,0.1741,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,15,1.3162,0.19478,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,16,1.2646,0.21253,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,17,1.2065,0.23393,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,18,1.1902,0.24022,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,19,1.1782,0.24489,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,20,1.1745,0.24636,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,21,1.1882,0.24097,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,22,1.2178,0.22966,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,23,1.275,0.20884,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,24,1.3322,0.18952,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,25,1.396,0.16956,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,26,1.4517,0.15352,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,27,1.55,0.12815,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,28,1.6209,0.11202,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,29,1.6511,0.10569,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,30,1.6905,0.09784,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,31,1.7117,0.09384,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,32,1.7472,0.08743,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,33,1.7326,0.09002,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,34,1.6712,0.10162,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
